id,paper_doi,paper_title,paper_author,paper_year,paper_journal,experiment_type,system_type,duration_hr,replicates_count,unknown_replicates_count,loading_pressure_batch,loading_room_temperature_batch,loading_volume_batch,sample_containing_material_batch,total_system_pressure_initial,is_isobaric_batch,room_temperature_initial,temperature_initial,is_isothermal_batch,total_system_volume_initial,is_isochoric_batch,ambient_atmosphere_initial,gas_name_initial_1,gas_concentration_initial_1,solvent_type_initial_1,solute_name_initial_1,solute_concentration_initial_1,solute_name_initial_2,solute_concentration_initial_2,solute_name_initial_3,solute_concentration_initial_3,solid_type_initial_1,solid_name_initial_1,solid_mass_initial_1,total_system_pressure_final,temperature_final,room_temperature_final,total_system_volume_final,ambient_atmosphere_final,gas_name_final_1,gas_concentration_final_1,gas_is_measured_final_1,solute_name_final_1,solute_concentration_final_1,solute_concentration_unknown_final_1,solute_name_final_2,solute_concentration_unknown_final_2,is_polymer_final_2,solute_name_final_3,solute_concentration_final_3,solute_concentration_unknown_final_3,is_polymer_final_3,polymer_length_unknown_final_3,max_polymer_length_final_3,number_of_unique_monomers_final_3,liquid_is_measured_final_3,solute_name_final_4,solute_concentration_final_4,solute_concentration_unknown_final_4,is_polymer_final_4,polymer_length_unknown_final_4,max_polymer_length_final_4,number_of_unique_monomers_final_4,solute_name_final_5,solute_concentration_final_5,solute_concentration_unknown_final_5,is_polymer_final_5,monomer_name_final_1,frequency_of_monomer_1,monomer_name_final_2,frequency_of_monomer_2,solid_name_final_1,solid_mass_final_1,solid_is_measured_final_1
53,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,CoCl2,104,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,CoCl2,104,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
54,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,CoCl2,52.1,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,CoCl2,52.1,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
55,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,CoCl2,26.1,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,CoCl2,26.1,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,4.67,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
56,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,657,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,657,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,6.33,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
57,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,493,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,493,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
58,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,328,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,328,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
59,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,164,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,164,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
60,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,82.1,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,82.1,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,5,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
61,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,MnCl2,41.1,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,MnCl2,41.1,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,4.67,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
62,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,PbCl2,37.3,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,PbCl2,37.3,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,4.67,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
63,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,PbCl2,28,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,PbCl2,28,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,4.33,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
64,https://www.proquest.com/openview/8d05d03428acaac9bd2aa90c4cb7e11f/,Constraining prebiotic RNA oligomerization in the context of hadean-archaean environments,Riggi,2019,Rensselaer Polytechnic Institute,batch,closed,72,3,FALSE,1,TRUE,0.1,polypropylene,1,TRUE,TRUE,23,TRUE,0.6,TRUE,TRUE,--,--,water,ImpA,15,PbCl2,18.7,--,--,--,--,,1,,TRUE,0.6,TRUE,--,--,--,PbCl2,18.7,FALSE,ImpA,TRUE,FALSE,oligoadenylic acid,,TRUE,TRUE,FALSE,4.67,1,,AMP,,TRUE,FALSE,,,,--,--,--,--,AMP,100,--,--,--,--,--
